# vel_profile  case=10  x_m=5  frames=38  y_min=0  y_max=65  n_bins=30
# y_center  vy
1.08333333e+00  -2.36302652e-02
3.25000000e+00  -3.98965497e-02
5.41666667e+00  -4.07333335e-02
7.58333333e+00  -2.44705870e-02
9.75000000e+00  -4.64285612e-02
1.19166667e+01  -4.22499932e-02
1.40833333e+01  -4.48499968e-02
1.62500000e+01  -4.14594570e-02
1.84166667e+01  -3.86060578e-02
2.05833333e+01  -3.42727251e-02
2.27500000e+01  -4.28235279e-02
2.49166667e+01  -4.01304295e-02
2.70833333e+01  -4.57241325e-02
2.92500000e+01  -4.15161249e-02
3.14166667e+01  -4.10526271e-02
3.35833333e+01  -4.06249964e-02
3.57500000e+01  -4.43333285e-02
3.79166667e+01  -3.76734641e-02
4.00833333e+01  -4.61499965e-02
4.22500000e+01  -3.95531897e-02
4.44166667e+01  -4.10526254e-02
4.65833333e+01  -4.46521702e-02
4.87500000e+01  -3.83499989e-02
5.09166667e+01  -3.42727273e-02
5.30833333e+01  0.00000000e+00
5.52500000e+01  0.00000000e+00
5.74166667e+01  0.00000000e+00
5.95833333e+01  0.00000000e+00
6.17500000e+01  0.00000000e+00
6.39166667e+01  0.00000000e+00
